Date,Open,High,Low,Close,Adj Close,Volume
2022-06-06,70.099998,70.730003,68.470001,69.610001,68.997215,25654100
2022-06-07,68.599998,71.470001,68.220001,70.550003,69.928940,25630500
2022-06-08,70.580002,70.989998,68.360001,69.029999,68.422325,29262700
2022-06-09,68.000000,68.839996,65.150002,65.180000,64.728111,25112700
2022-06-10,64.820000,66.120003,62.900002,63.869999,63.427197,27407900
2022-06-13,61.369999,61.799999,58.439999,59.830002,59.415207,34448400
2022-06-14,61.779999,64.120003,60.900002,62.090000,61.659534,31328400
2022-06-15,61.169998,61.980000,59.240002,60.279999,59.862083,29608900
2022-06-16,58.770000,59.570000,55.889999,56.810001,56.416142,40604300
2022-06-17,56.450001,57.189999,54.349998,55.680000,55.293972,51530800
2022-06-21,57.910000,58.740002,56.439999,57.869999,57.468792,31096600
2022-06-22,55.020000,56.970001,54.299999,55.770000,55.383350,37726100
2022-06-23,58.169998,58.290001,54.930000,56.090000,55.701130,36861500
2022-06-24,57.820000,59.930000,56.799999,57.520000,57.121216,45335600
2022-06-27,58.209999,60.150002,58.160000,58.900002,58.491650,26793500
2022-06-28,60.970001,62.970001,60.160000,61.709999,61.282166,39095200
2022-06-29,62.119999,62.779999,58.459999,59.099998,58.690262,31710700
2022-06-30,57.950001,59.810001,57.480000,58.880001,58.471790,27244400
2022-07-01,59.410000,60.669998,57.080002,60.439999,60.020969,28036800
2022-07-05,59.060001,59.549999,56.720001,59.110001,58.700195,39977000
2022-07-06,58.580002,60.040001,56.689999,59.110001,58.700195,30682700
2022-07-07,60.849998,62.139999,60.849998,61.470001,61.043831,25249700
2022-07-08,63.180000,63.230000,60.450001,60.669998,60.249374,25463700
2022-07-11,59.580002,59.990002,58.680000,59.520000,59.107353,17894700
2022-07-12,57.419998,58.049999,55.930000,57.369999,56.972252,25927800
2022-07-13,56.880001,59.209999,56.770000,58.009998,57.607819,19295500
2022-07-14,56.610001,57.720001,55.910000,57.230000,56.833229,24478800
2022-07-15,58.049999,58.779999,57.099998,58.709999,58.302967,18944500
2022-07-18,60.049999,61.849998,59.580002,60.049999,59.633678,20112500
2022-07-19,60.119999,62.919998,59.959999,62.820000,62.384472,21616400
2022-07-20,61.299999,63.770000,61.200001,63.549999,63.109413,17643100
2022-07-21,61.700001,62.070000,60.220001,62.000000,61.570156,16640500
2022-07-22,62.000000,63.000000,60.410000,61.060001,60.636681,14198400
2022-07-25,61.840000,64.459999,61.099998,64.410004,63.963448,19564400
2022-07-26,65.790001,66.050003,61.779999,62.070000,61.639668,20190800
2022-07-27,62.630001,63.000000,61.520000,62.779999,62.344753,16625100
2022-07-28,63.310001,64.599998,61.599998,62.639999,62.205719,14559400
2022-07-29,64.000000,65.900002,63.900002,65.750000,65.294159,19570700
2022-08-01,65.169998,65.739998,63.570000,65.230003,64.777771,16725700
2022-08-02,65.309998,65.809998,63.950001,65.059998,64.608948,16296800
2022-08-03,64.669998,65.000000,60.509998,60.990002,60.567162,32476600
2022-08-04,60.009998,60.700001,57.259998,57.459999,57.061630,37999100
2022-08-05,56.919998,59.700001,56.830002,59.009998,58.600883,20987500
2022-08-08,58.340000,60.599998,58.340000,60.040001,59.623749,18132800
2022-08-09,61.660000,63.520000,61.410000,62.410000,61.977318,22286800
2022-08-10,61.980000,63.389999,61.310001,62.860001,62.424198,14200100
2022-08-11,64.199997,66.160004,64.160004,65.690002,65.234573,21762300
2022-08-12,65.050003,66.070000,64.790001,65.730003,65.274300,11746100
2022-08-15,63.410000,65.209999,62.459999,64.339996,63.893932,16684700
2022-08-16,64.779999,65.690002,63.029999,63.509998,63.069687,16662200
2022-08-17,63.430000,64.809998,62.790001,62.970001,62.533436,14889800
2022-08-18,63.599998,65.279999,63.570000,64.879997,64.430191,16818000
2022-08-19,64.120003,72.489998,63.840000,71.290001,70.795753,79948100
2022-08-22,68.599998,70.379997,67.269997,69.029999,68.551422,47928800
2022-08-23,70.769997,74.839996,70.470001,73.790001,73.278427,59618700
2022-08-24,74.150002,75.690002,73.080002,74.910004,74.390656,39632300
