Date,Open,High,Low,Close,Adj Close,Volume
2022-06-08,2.980000,2.990000,2.910000,2.950000,2.950000,39000
2022-06-09,2.950000,2.950000,2.940000,2.950000,2.950000,43000
2022-06-10,2.950000,2.970000,2.950000,2.960000,2.960000,410000
2022-06-13,2.970000,2.990000,2.960000,2.980000,2.980000,91000
2022-06-14,2.990000,3.020000,2.990000,3.020000,3.020000,377000
2022-06-15,3.020000,3.070000,3.010000,3.010000,3.010000,168000
2022-06-16,3.020000,3.030000,2.980000,3.010000,3.010000,53000
2022-06-17,2.980000,3.200000,2.980000,3.050000,3.050000,90000
2022-06-20,3.040000,3.050000,2.990000,3.030000,3.030000,174000
2022-06-21,3.030000,3.030000,3.000000,3.030000,3.030000,49000
2022-06-22,3.000000,3.030000,3.000000,3.030000,3.030000,187000
2022-06-23,3.010000,3.090000,3.000000,3.040000,3.040000,335000
2022-06-24,3.200000,3.200000,3.020000,3.070000,3.070000,191000
2022-06-27,3.110000,3.120000,3.060000,3.120000,3.120000,231300
2022-06-28,3.100000,3.190000,3.100000,3.160000,3.160000,225000
2022-06-29,3.150000,3.160000,3.050000,3.160000,3.160000,238000
2022-06-30,3.170000,3.180000,3.100000,3.150000,3.150000,117000
2022-07-01,3.090000,3.140000,2.980000,3.090000,3.090000,136000
2022-07-04,3.090000,3.100000,3.020000,3.070000,3.070000,82000
2022-07-05,3.110000,3.120000,3.040000,3.120000,3.120000,86000
2022-07-06,3.190000,3.190000,3.070000,3.120000,3.120000,59000
2022-07-07,3.150000,3.150000,3.120000,3.120000,3.120000,4000
2022-07-08,3.140000,3.140000,3.080000,3.120000,3.120000,17000
2022-07-11,3.120000,3.130000,3.080000,3.130000,3.130000,152000
2022-07-12,3.110000,3.150000,3.070000,3.140000,3.140000,117000
2022-07-13,3.110000,3.140000,3.080000,3.140000,3.140000,61000
2022-07-14,3.120000,3.140000,3.120000,3.140000,3.140000,6000
2022-07-15,3.140000,3.140000,3.140000,3.140000,3.140000,0
2022-07-18,3.120000,3.130000,3.070000,3.070000,3.070000,31000
2022-07-19,3.100000,3.130000,3.080000,3.130000,3.130000,127000
2022-07-20,3.140000,3.140000,3.050000,3.120000,3.120000,294000
2022-07-21,3.130000,3.130000,3.080000,3.130000,3.130000,16000
2022-07-22,3.130000,3.130000,3.060000,3.130000,3.130000,106000
2022-07-25,3.100000,3.130000,3.050000,3.070000,3.070000,70000
2022-07-26,3.130000,3.140000,3.070000,3.130000,3.130000,84000
2022-07-27,3.140000,3.140000,3.080000,3.140000,3.140000,42000
2022-07-28,3.140000,3.140000,3.090000,3.090000,3.090000,55000
2022-07-29,3.130000,3.140000,3.070000,3.130000,3.130000,91000
2022-08-01,3.100000,3.130000,3.050000,3.090000,3.090000,127000
2022-08-02,3.120000,3.120000,3.050000,3.100000,3.100000,117000
2022-08-03,3.120000,3.120000,3.050000,3.080000,3.080000,85000
2022-08-04,3.080000,3.090000,3.050000,3.090000,3.090000,42000
2022-08-05,3.100000,3.150000,3.050000,3.120000,3.120000,54000
2022-08-08,3.120000,3.120000,3.120000,3.120000,3.120000,8000
2022-08-09,3.170000,3.170000,3.050000,3.110000,3.110000,53000
2022-08-10,3.090000,3.130000,3.090000,3.110000,3.110000,52000
2022-08-11,3.100000,3.110000,3.080000,3.080000,3.080000,23000
2022-08-12,3.080000,3.140000,3.040000,3.110000,3.110000,105000
2022-08-15,3.060000,3.110000,3.060000,3.110000,3.110000,102000
2022-08-16,3.110000,3.120000,3.110000,3.110000,3.110000,31000
2022-08-17,3.110000,3.110000,3.070000,3.100000,3.100000,40000
2022-08-18,3.110000,3.110000,3.060000,3.090000,3.090000,41000
2022-08-19,3.060000,3.100000,3.060000,3.100000,3.100000,37000
2022-08-22,3.100000,3.100000,3.080000,3.100000,3.100000,104000
2022-08-23,3.100000,3.110000,3.100000,3.110000,3.110000,2000
2022-08-24,3.100000,3.110000,3.080000,3.100000,3.100000,68000
2022-08-25,3.150000,3.150000,3.070000,3.110000,3.110000,28000
2022-08-26,3.100000,3.110000,3.070000,3.110000,3.110000,42000
2022-08-29,3.140000,3.140000,3.060000,3.110000,3.110000,39000
2022-08-30,3.110000,3.110000,3.070000,3.110000,3.110000,28000
2022-08-31,3.070000,3.130000,3.070000,3.070000,3.070000,151000
2022-09-01,3.140000,3.140000,3.070000,3.070000,3.070000,83000
2022-09-02,3.080000,3.120000,3.080000,3.120000,3.120000,4000
2022-09-05,3.120000,3.120000,3.080000,3.120000,3.120000,34000
2022-09-06,3.080000,3.120000,3.070000,3.120000,3.120000,46000
2022-09-07,3.100000,3.100000,2.910000,3.090000,3.090000,120000
2022-09-08,3.090000,3.090000,3.090000,3.090000,3.090000,0
2022-09-12,3.100000,3.110000,3.030000,3.100000,3.100000,13000
2022-09-13,3.080000,3.100000,3.080000,3.100000,3.100000,150000
2022-09-14,3.100000,3.100000,3.010000,3.090000,3.090000,17000
